WikiCS ,,,,,,,,,,
Barabasi-SRWS,m = 2,,m = 3,,m = 4,,,,,
n = 1500,0.6472533333,0.08244964271,0.7509866667,0.1022598389,0.79392,0.1493605806,,,,
n = 2240 ,0.6476428571,0.08777025854,0.7241071429,0.1180112353,0.7759285714,0.1292691628,,,,
n = 3600 ,0.6687777778,0.07791476437,0.7321111111,0.1165239922,0.7856666667,0.1298207478,,,,
n = 7154,0.6613862493,0.08843483581,0.733314701,0.1014817387,0.7624818334,0.1302375347,,,,
,,,,,,,,,,
Barabasi-SRWE,m = 2,,m = 3,,m = 4,,,,,
n = 1500,0.6603733333,0.07958852912,0.7631466667,0.09760515952,0.81936,0.1198188323,,,,
n = 2240 ,0.7008928571,0.09243586456,0.7971785714,0.115856265,0.7998214286,0.1138053921,,,,
n = 3600 ,0.6822666667,0.07658066753,0.7611777778,0.1156347648,0.7961111111,0.1337703063,,,,
n = 7154,0.6851201789,0.08222078204,0.7202012297,0.105667137,0.7450307434,0.1434702144,,,,
